journey_date,rides,revenue,disrupted,refunds,disruption_rate_pct
2024-01-01,66,1682,5,2,7.58
2024-01-02,146,4830,26,7,17.81
2024-01-03,292,7159,39,10,13.36
2024-01-04,274,7063,41,11,14.96
2024-01-05,253,5934,25,8,9.88
2024-01-06,250,5778,20,10,8.0
2024-01-07,248,5495,34,8,13.71
2024-01-08,289,6737,36,6,12.46
2024-01-09,266,7359,25,7,9.4
2024-01-10,268,6655,28,8,10.45
2024-01-11,290,7405,54,12,18.62
2024-01-12,277,6718,26,10,9.39
2024-01-13,275,5871,35,14,12.73
2024-01-14,265,6007,31,5,11.7
2024-01-15,250,6530,44,11,17.6
2024-01-16,273,6227,29,9,10.62
2024-01-17,293,7028,31,8,10.58
2024-01-18,301,7279,56,13,18.6
2024-01-19,274,7420,31,7,11.31
2024-01-20,267,5437,49,10,18.35
2024-01-21,248,5148,33,10,13.31
2024-01-22,275,7378,24,10,8.73
2024-01-23,269,6212,46,14,17.1
2024-01-24,269,6651,34,8,12.64
2024-01-25,278,7027,19,6,6.83
2024-01-26,278,6904,29,15,10.43
2024-01-27,276,6313,33,7,11.96
2024-01-28,285,7099,55,15,19.3
2024-01-29,256,7062,21,8,8.2
2024-01-30,265,6014,38,14,14.34
2024-01-31,295,9196,37,6,12.54
2024-02-01,281,6204,26,8,9.25
2024-02-02,278,7235,58,11,20.86
2024-02-03,271,6295,45,12,16.61
2024-02-04,290,5573,29,6,10.0
2024-02-05,247,6080,24,8,9.72
2024-02-06,260,6354,29,9,11.15
2024-02-07,238,5683,27,11,11.34
2024-02-08,269,5433,32,6,11.9
2024-02-09,270,5546,27,6,10.0
2024-02-10,258,5148,34,8,13.18
2024-02-11,245,4567,22,9,8.98
2024-02-12,269,6051,31,6,11.52
2024-02-13,249,6300,37,13,14.86
2024-02-14,277,6587,50,15,18.05
2024-02-15,258,5394,46,10,17.83
2024-02-16,240,5193,19,4,7.92
2024-02-17,244,5345,28,6,11.48
2024-02-18,275,5410,24,8,8.73
2024-02-19,253,4669,22,9,8.7
2024-02-20,274,5475,31,9,11.31
2024-02-21,297,5921,55,12,18.52
2024-02-22,254,5178,50,12,19.69
2024-02-23,262,4200,21,9,8.02
2024-02-24,245,3994,29,6,11.84
2024-02-25,287,5325,34,6,11.85
2024-02-26,256,5322,49,13,19.14
2024-02-27,263,5183,49,11,18.63
2024-02-28,286,5271,34,4,11.89
2024-02-29,248,4438,31,6,12.5
2024-03-01,73,1805,2,2,2.74
2024-03-02,157,4532,24,7,15.29
2024-03-03,290,5992,46,11,15.86
2024-03-04,244,5936,45,10,18.44
2024-03-05,296,7213,42,11,14.19
2024-03-06,282,7046,40,7,14.18
2024-03-07,257,6286,53,13,20.62
2024-03-08,251,7375,39,9,15.54
2024-03-09,313,6952,39,9,12.46
2024-03-10,294,6491,37,10,12.59
2024-03-11,292,6905,37,12,12.67
2024-03-12,244,6692,46,6,18.85
2024-03-13,269,7170,35,10,13.01
2024-03-14,284,6698,42,16,14.79
2024-03-15,264,6777,41,8,15.53
2024-03-16,233,5174,40,10,17.17
2024-03-17,253,5987,29,13,11.46
2024-03-18,291,7223,41,12,14.09
2024-03-19,252,5692,32,9,12.7
2024-03-20,275,6552,29,12,10.55
2024-03-21,293,7207,28,11,9.56
2024-03-22,267,6366,36,11,13.48
2024-03-23,262,5944,32,14,12.21
2024-03-24,248,5615,34,9,13.71
2024-03-25,304,7110,44,11,14.47
2024-03-26,288,7150,31,7,10.76
2024-03-27,275,6315,48,12,17.45
2024-03-28,256,5414,23,7,8.98
2024-03-29,259,6660,26,10,10.04
2024-03-30,285,5865,58,11,20.35
2024-03-31,266,7003,38,6,14.29
2024-04-01,63,1562,5,1,7.94
2024-04-02,153,4083,15,7,9.8
2024-04-03,267,7041,45,6,16.85
2024-04-04,252,5637,37,9,14.68
2024-04-05,240,6403,34,10,14.17
2024-04-06,282,5653,32,7,11.35
2024-04-07,245,6036,42,9,17.14
2024-04-08,280,7019,45,11,16.07
2024-04-09,302,8092,59,12,19.54
2024-04-10,250,5467,21,7,8.4
2024-04-11,253,6593,41,10,16.21
2024-04-12,291,7719,24,7,8.25
2024-04-13,265,5971,21,8,7.92
2024-04-14,284,6053,40,8,14.08
2024-04-15,298,7506,30,11,10.07
2024-04-16,251,7118,29,11,11.55
2024-04-17,288,7249,35,9,12.15
2024-04-18,256,6575,26,7,10.16
2024-04-19,304,7053,52,13,17.11
2024-04-20,255,5957,25,8,9.8
2024-04-21,265,5592,28,9,10.57
2024-04-22,254,7107,43,11,16.93
2024-04-23,285,6944,39,9,13.68
2024-04-24,271,6811,37,9,13.65
2024-04-25,276,5411,25,9,9.06
2024-04-26,270,6125,29,10,10.74
2024-04-27,269,6707,38,14,14.13
2024-04-28,292,6655,43,9,14.73
2024-04-29,249,5893,25,9,10.04
2024-04-30,271,5750,43,10,15.87
